invoice_date,invoice_no,account_code,account_name,debit_amount,credit_amount,po_no,payment_terms,,deal_id,bill_no,bill_date,sales_person
29/2/2024,5552,CUSA-1002,AIMS TELECOMMUNICATION LLC,3591,0,PO 3414,10 DAYS PDC ON DELIVERY,,1564,,,
1/3/2024,5572,CUSA-1002,AIMS TELECOMMUNICATION LLC,1438.5,0,PO 3415,10% Adv 90% 30 DAYS PDC,,8912,,,
2/3/2024,5582,CUSA-1002,AIMS TELECOMMUNICATION LLC,173.25,0,PO 3414,15 DAYS PDC ON DELIVERY,,6565,,,
3/3/2024,5587,CUSA-1002,AIMS TELECOMMUNICATION LLC,2782.5,0,PO 3414,10 DAYS PDC ON DELIVERY,,6565,,,
4/3/2024,5586,CUSA-1002,AIMS TELECOMMUNICATION LLC,0,1680,PO 3414,10 DAYS PDC ON DELIVERY,,5656,,,
5/3/2024,5596,CUSA-1002,AIMS TELECOMMUNICATION LLC,0,651,PO 3415,10% Adv 90% 30 DAYS PDC,,9898,,,
6/3/2024,5622,CUSA-1002,AIMS TELECOMMUNICATION LLC,0,3793.13,PO 3414,15 DAYS PDC ON DELIVERY,,1564,,,
29/3/2024,5626,CUSA-1002,AIMS TELECOMMUNICATION LLC,0,2667,PO 3415,10 DAYS PDC ON DELIVERY,,8912,,,
7/2/2024,5469,CUSD-1876,BRIGHT TECHNOLOGIES,0,834.75,PO 3414,10% Adv 90% 30 DAYS PDC,,6565,,,
17/2/2024,5493,CUSD-1876,BRIGHT TECHNOLOGIES,472.5,0,PO 3414,10 DAYS PDC ON DELIVERY,,6565,,,
19/2/2024,5497,CUSD-1876,BRIGHT TECHNOLOGIES,1207.5,0,PO 3414,10% Adv 90% 30 DAYS PDC,,5656,,,
21/2/2024,5505,CUSD-1876,BRIGHT TECHNOLOGIES,0,1344,PO 3415,15 DAYS PDC ON DELIVERY,,9898,,,
21/2/2024,5503,CUSD-1876,BRIGHT TECHNOLOGIES,0,472.5,PO 3414,10 DAYS PDC ON DELIVERY,,1564,,,
7/3/2024,5567,CUSD-1876,BRIGHT TECHNOLOGIES,472.5,0,PO 3415,10% Adv 90% 30 DAYS PDC,,8912,,,
11/3/2024,5570,CUSD-1876,BRIGHT TECHNOLOGIES,630,0,PO 3414,15 DAYS PDC ON DELIVERY,,6565,,,
16/3/2024,5581,CUSD-1876,BRIGHT TECHNOLOGIES,672,0,PO 3414,15 DAYS PDC ON DELIVERY,,6565,,,
16/3/2024,5584,CUSD-1876,BRIGHT TECHNOLOGIES,498.75,0,PO 3414,15 DAYS PDC ON DELIVERY,,5656,,,
